Record,Correct,Wrong,Percent,week
13-3,13,3,0.8125,1
15-1,15,1,0.9375,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
8-8,8,8,0.5,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
13-3,13,3,0.8125,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
19-12,19,12,0.6129032258064516,2
22-10,22,10,0.6875,2
20-12,20,12,0.625,2
19-13,19,13,0.59375,2
20-12,20,12,0.625,2
13-19,13,19,0.40625,2
17-15,17,15,0.53125,2
20-12,20,12,0.625,2
19-13,19,13,0.59375,2
21-11,21,11,0.65625,2
14-18,14,18,0.4375,2
20-21,20,21,0.4878048780487805,3
30-18,30,18,0.625,3
27-21,27,21,0.5625,3
27-21,27,21,0.5625,3
26-22,26,22,0.5416666666666666,3
21-27,21,27,0.4375,3
25-23,25,23,0.5208333333333334,3
29-19,29,19,0.6041666666666666,3
27-21,27,21,0.5625,3
28-20,28,20,0.5833333333333334,3
22-26,22,26,0.4583333333333333,3
30-27,30,27,0.5263157894736842,4
41-23,41,23,0.640625,4
37-27,37,27,0.578125,4
37-27,37,27,0.578125,4
38-26,38,26,0.59375,4
30-34,30,34,0.46875,4
36-28,36,28,0.5625,4
37-27,37,27,0.578125,4
36-28,36,28,0.5625,4
38-26,38,26,0.59375,4
31-33,31,33,0.484375,4
42-29,42,29,0.5915492957746479,5
50-28,50,28,0.6410256410256411,5
46-32,46,32,0.5897435897435898,5
46-32,46,32,0.5897435897435898,5
45-33,45,33,0.5769230769230769,5
39-39,39,39,0.5,5
43-35,43,35,0.5512820512820513,5
46-32,46,32,0.5897435897435898,5
45-33,45,33,0.5769230769230769,5
46-32,46,32,0.5897435897435898,5
39-39,39,39,0.5,5
55-30,55,30,0.6470588235294118,6
64-28,64,28,0.6956521739130435,6
59-33,59,33,0.6413043478260869,6
58-34,58,34,0.6304347826086957,6
56-36,56,36,0.6086956521739131,6
51-41,51,41,0.5543478260869565,6
54-38,54,38,0.5869565217391305,6
59-33,59,33,0.6413043478260869,6
57-35,57,35,0.6195652173913043,6
57-35,57,35,0.6195652173913043,6
50-42,50,42,0.5434782608695652,6
64-34,64,34,0.6530612244897959,7
74-31,74,31,0.7047619047619048,7
68-37,68,37,0.6476190476190476,7
67-38,67,38,0.638095238095238,7
65-40,65,40,0.6190476190476191,7
60-45,60,45,0.5714285714285714,7
63-42,63,42,0.6,7
68-37,68,37,0.6476190476190476,7
67-38,67,38,0.638095238095238,7
65-40,65,40,0.6190476190476191,7
60-45,60,45,0.5714285714285714,7
