Record,Correct,Wrong,Percent,week
13-3,13,3,0.8125,1
15-1,15,1,0.9375,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
8-8,8,8,0.5,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
13-3,13,3,0.8125,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
6-9,6,9,0.4,2
7-9,7,9,0.4375,2
7-9,7,9,0.4375,2
10-6,10,6,0.625,2
8-8,8,8,0.5,2
5-11,5,11,0.3125,2
8-8,8,8,0.5,2
8-8,8,8,0.5,2
6-10,6,10,0.375,2
8-8,8,8,0.5,2
5-11,5,11,0.3125,2
7-9,7,9,0.4375,3
8-8,8,8,0.5,3
7-9,7,9,0.4375,3
8-8,8,8,0.5,3
6-10,6,10,0.375,3
8-8,8,8,0.5,3
8-8,8,8,0.5,3
9-7,9,7,0.5625,3
8-8,8,8,0.5,3
7-9,7,9,0.4375,3
8-8,8,8,0.5,3
10-6,10,6,0.625,4
11-5,11,5,0.6875,4
10-6,10,6,0.625,4
10-6,10,6,0.625,4
12-4,12,4,0.75,4
9-7,9,7,0.5625,4
11-5,11,5,0.6875,4
8-8,8,8,0.5,4
9-7,9,7,0.5625,4
10-6,10,6,0.625,4
9-7,9,7,0.5625,4
11-2,11,2,0.8461538461538461,5
8-5,8,5,0.6153846153846154,5
8-5,8,5,0.6153846153846154,5
8-5,8,5,0.6153846153846154,5
6-7,6,7,0.46153846153846156,5
8-5,8,5,0.6153846153846154,5
6-7,6,7,0.46153846153846156,5
8-5,8,5,0.6153846153846154,5
8-5,8,5,0.6153846153846154,5
8-5,8,5,0.6153846153846154,5
7-6,7,6,0.5384615384615384,5
