Correct,Wrong,Tie,Percent,week
10,6,0,0.625,1
7,9,0,0.4375,1
12,4,0,0.75,1
13,3,0,0.8125,1
10,6,0,0.625,1
9,7,0,0.5625,1
10,6,0,0.625,1
11,5,0,0.6875,1
17,15,0,0.53125,2
12,20,0,0.375,2
20,12,0,0.625,2
20,12,0,0.625,2
14,18,0,0.4375,2
17,15,0,0.53125,2
19,13,0,0.59375,2
18,14,0,0.5625,2
24,24,0,0.5,3
20,28,0,0.4166666666666667,3
27,21,0,0.5625,3
28,20,0,0.5833333333333334,3
19,29,0,0.3958333333333333,3
25,23,0,0.5208333333333334,3
25,23,0,0.5208333333333334,3
25,23,0,0.5208333333333334,3
32,32,0,0.5,4
30,34,0,0.46875,4
34,30,0,0.53125,4
37,27,0,0.578125,4
30,34,0,0.46875,4
34,30,0,0.53125,4
32,32,0,0.5,4
34,30,0,0.53125,4
39,39,0,0.5,5
38,40,0,0.48717948717948717,5
42,36,0,0.5384615384615384,5
44,34,0,0.5641025641025641,5
36,42,0,0.46153846153846156,5
42,36,0,0.5384615384615384,5
40,38,0,0.5128205128205128,5
42,36,0,0.5384615384615384,5
51,41,0,0.5543478260869565,6
44,48,0,0.4782608695652174,6
55,37,0,0.5978260869565217,6
58,34,0,0.6304347826086957,6
48,44,0,0.5217391304347826,6
53,39,0,0.5760869565217391,6
52,40,0,0.5652173913043478,6
54,38,0,0.5869565217391305,6
59,48,0,0.5514018691588785,7
55,52,0,0.514018691588785,7
66,41,0,0.616822429906542,7
69,38,0,0.6448598130841121,7
58,49,0,0.5420560747663551,7
64,43,0,0.5981308411214953,7
62,45,0,0.5794392523364486,7
65,42,0,0.6074766355140186,7
68,55,0,0.5528455284552846,8
64,59,0,0.5203252032520326,8
77,46,0,0.6260162601626016,8
78,45,0,0.6341463414634146,8
69,54,0,0.5609756097560976,8
73,50,0,0.5934959349593496,8
72,51,0,0.5853658536585366,8
75,48,0,0.6097560975609756,8
82,56,0,0.5942028985507246,9
75,63,0,0.5434782608695652,9
88,50,0,0.6376811594202898,9
90,48,0,0.6521739130434783,9
82,56,0,0.5942028985507246,9
84,54,0,0.6086956521739131,9
84,54,0,0.6086956521739131,9
89,49,0,0.644927536231884,9
